seed,seed_set,mode,policy,completion_rule,shortfall_bps,completion_rate,terminal_penalty_bps,forced_terminal_cost_bps,fee_bps,gas_bps,slippage_ex_fee_bps,drift_bps,route_share_A,route_share_B,wait_share
30013,test,DynamicDuopoly,twap,standard,117.5874,0.999704,0.0592,0.0000,41.6037,20.0000,48.8989,7.0256,0.6082,0.3918,0.0000
30013,test,DynamicDuopoly,fee_aware_twap,standard,117.5874,0.999704,0.0592,0.0000,41.6037,20.0000,48.8989,7.0256,0.6082,0.3918,0.0000
30013,test,DynamicDuopoly,lookahead,standard,109.7397,0.999787,0.0426,0.0000,34.5735,9.2000,43.4325,22.4912,0.5825,0.4175,0.5800
30014,test,DynamicDuopoly,twap,standard,104.4261,0.999704,0.0592,0.0000,41.0008,20.0000,47.7259,-4.3597,0.5121,0.4879,0.0000
30014,test,DynamicDuopoly,fee_aware_twap,standard,104.4261,0.999704,0.0592,0.0000,41.0008,20.0000,47.7259,-4.3597,0.5121,0.4879,0.0000
30014,test,DynamicDuopoly,lookahead,standard,104.4277,0.999842,0.0315,0.0000,38.3242,8.8000,52.6313,4.6407,0.5815,0.4185,0.6000
30015,test,DynamicDuopoly,twap,standard,120.5051,0.999704,0.0592,0.0000,41.2683,20.0000,48.1907,10.9868,0.5313,0.4687,0.0000
30015,test,DynamicDuopoly,fee_aware_twap,standard,120.5051,0.999704,0.0592,0.0000,41.2683,20.0000,48.1907,10.9868,0.5313,0.4687,0.0000
30015,test,DynamicDuopoly,lookahead,standard,128.1553,0.999741,0.0519,0.0000,35.7770,8.0000,53.9978,30.3287,0.5221,0.4779,0.6600
30016,test,DynamicDuopoly,twap,standard,104.5785,0.999704,0.0592,0.0000,40.9934,20.0000,47.7795,-4.2535,0.4745,0.5255,0.0000
30016,test,DynamicDuopoly,fee_aware_twap,standard,104.5785,0.999704,0.0592,0.0000,40.9934,20.0000,47.7795,-4.2535,0.4745,0.5255,0.0000
30016,test,DynamicDuopoly,lookahead,standard,67.1436,0.999842,0.0315,0.0000,38.1706,8.8000,52.3758,-32.2343,0.4354,0.5646,0.6000
30017,test,DynamicDuopoly,twap,standard,121.2350,0.999704,0.0592,0.0000,41.1956,20.0000,48.0967,11.8835,0.5372,0.4628,0.0000
30017,test,DynamicDuopoly,fee_aware_twap,standard,121.2350,0.999704,0.0592,0.0000,41.1956,20.0000,48.0967,11.8835,0.5372,0.4628,0.0000
30017,test,DynamicDuopoly,lookahead,standard,114.7698,0.999766,0.0467,0.0000,40.5398,8.4000,60.1475,5.6358,0.5616,0.4384,0.6400
30018,test,DynamicDuopoly,twap,standard,103.5732,0.999704,0.0592,0.0000,43.9222,20.0000,53.4628,-13.8711,0.5860,0.4140,0.0000
30018,test,DynamicDuopoly,fee_aware_twap,standard,103.5732,0.999704,0.0592,0.0000,43.9222,20.0000,53.4628,-13.8711,0.5860,0.4140,0.0000
30018,test,DynamicDuopoly,lookahead,standard,65.3076,0.999790,0.0420,0.0000,39.7839,8.8000,56.1798,-39.4982,0.5146,0.4854,0.6200
30019,test,DynamicDuopoly,twap,standard,110.3959,0.999704,0.0592,0.0000,40.6791,20.0000,47.0956,2.5620,0.5324,0.4676,0.0000
30019,test,DynamicDuopoly,fee_aware_twap,standard,110.3959,0.999704,0.0592,0.0000,40.6791,20.0000,47.0956,2.5620,0.5324,0.4676,0.0000
30019,test,DynamicDuopoly,lookahead,standard,108.2169,0.999869,0.0263,0.0000,36.5669,8.8000,50.6441,12.1797,0.6079,0.3921,0.6000
30020,test,DynamicDuopoly,twap,standard,135.8512,0.999704,0.0592,0.0000,42.0623,20.0000,49.6645,24.0652,0.5660,0.4340,0.0000
30020,test,DynamicDuopoly,fee_aware_twap,standard,135.8512,0.999704,0.0592,0.0000,42.0623,20.0000,49.6645,24.0652,0.5660,0.4340,0.0000
30020,test,DynamicDuopoly,lookahead,standard,115.3880,0.999811,0.0378,0.0000,37.6651,8.8000,50.5044,18.3807,0.6829,0.3171,0.6000
30021,test,DynamicDuopoly,twap,standard,89.7901,0.999704,0.0592,0.0000,43.8107,20.0000,53.3046,-27.3844,0.5354,0.4646,0.0000
30021,test,DynamicDuopoly,fee_aware_twap,standard,89.7901,0.999704,0.0592,0.0000,43.8107,20.0000,53.3046,-27.3844,0.5354,0.4646,0.0000
30021,test,DynamicDuopoly,lookahead,standard,80.7360,0.999825,0.0350,0.0000,40.1911,8.4000,58.7175,-26.6076,0.5179,0.4821,0.6200
30022,test,DynamicDuopoly,twap,standard,89.4780,0.999704,0.0592,0.0000,43.9905,20.0000,53.6359,-28.2076,0.5737,0.4263,0.0000
30022,test,DynamicDuopoly,fee_aware_twap,standard,89.4780,0.999704,0.0592,0.0000,43.9905,20.0000,53.6359,-28.2076,0.5737,0.4263,0.0000
30022,test,DynamicDuopoly,lookahead,standard,75.2095,0.999766,0.0467,0.0000,40.3031,8.0000,60.5886,-33.7289,0.5675,0.4325,0.6400
30023,test,DynamicDuopoly,twap,standard,109.5078,0.999704,0.0592,0.0000,42.9214,20.0000,51.4227,-4.8956,0.5450,0.4550,0.0000
30023,test,DynamicDuopoly,fee_aware_twap,standard,109.5078,0.999704,0.0592,0.0000,42.9214,20.0000,51.4227,-4.8956,0.5450,0.4550,0.0000
30023,test,DynamicDuopoly,lookahead,standard,97.8165,0.999856,0.0288,0.0000,35.7621,8.0000,57.7811,-3.7556,0.5891,0.4109,0.6600
30024,test,DynamicDuopoly,twap,standard,108.8232,0.999704,0.0592,0.0000,42.4677,20.0000,50.5984,-4.3020,0.5261,0.4739,0.0000
30024,test,DynamicDuopoly,fee_aware_twap,standard,108.8232,0.999704,0.0592,0.0000,42.4677,20.0000,50.5984,-4.3020,0.5261,0.4739,0.0000
30024,test,DynamicDuopoly,lookahead,standard,92.3764,0.999840,0.0320,0.0000,41.8035,7.6000,74.3839,-31.4431,0.5016,0.4984,0.6800
30025,test,DynamicDuopoly,twap,standard,118.7513,0.999704,0.0592,0.0000,39.9236,20.0000,45.6086,13.1600,0.5493,0.4507,0.0000
30025,test,DynamicDuopoly,fee_aware_twap,standard,118.7513,0.999704,0.0592,0.0000,39.9236,20.0000,45.6086,13.1600,0.5493,0.4507,0.0000
30025,test,DynamicDuopoly,lookahead,standard,129.4866,0.999790,0.0420,0.0000,36.5267,8.4000,50.4579,34.0599,0.6905,0.3095,0.6200
30026,test,DynamicDuopoly,twap,standard,117.1724,0.999704,0.0592,0.0000,41.5422,20.0000,48.7244,6.8466,0.5624,0.4376,0.0000
30026,test,DynamicDuopoly,fee_aware_twap,standard,117.1724,0.999704,0.0592,0.0000,41.5422,20.0000,48.7244,6.8466,0.5624,0.4376,0.0000
30026,test,DynamicDuopoly,lookahead,standard,132.0914,0.999869,0.0263,0.0000,35.4898,8.8000,48.5272,39.2482,0.6268,0.3732,0.6000
30027,test,DynamicDuopoly,twap,standard,107.6289,0.999704,0.0592,0.0000,41.0669,20.0000,47.8991,-1.3963,0.5628,0.4372,0.0000
30027,test,DynamicDuopoly,fee_aware_twap,standard,107.6289,0.999704,0.0592,0.0000,41.0669,20.0000,47.8991,-1.3963,0.5628,0.4372,0.0000
30027,test,DynamicDuopoly,lookahead,standard,89.4236,0.999766,0.0467,0.0000,36.2898,8.4000,51.8456,-7.1586,0.5445,0.4555,0.6400
30028,test,DynamicDuopoly,twap,standard,101.0889,0.999704,0.0592,0.0000,42.1681,20.0000,50.0455,-11.1839,0.5381,0.4619,0.0000
30028,test,DynamicDuopoly,fee_aware_twap,standard,101.0889,0.999704,0.0592,0.0000,42.1681,20.0000,50.0455,-11.1839,0.5381,0.4619,0.0000
30028,test,DynamicDuopoly,lookahead,standard,65.7025,0.999811,0.0378,0.0000,37.9435,9.2000,50.5194,-31.9981,0.6087,0.3913,0.6000
30029,test,DynamicDuopoly,twap,standard,103.5246,0.999704,0.0592,0.0000,41.1344,20.0000,48.0044,-5.6733,0.4846,0.5154,0.0000
30029,test,DynamicDuopoly,fee_aware_twap,standard,103.5246,0.999704,0.0592,0.0000,41.1344,20.0000,48.0044,-5.6733,0.4846,0.5154,0.0000
30029,test,DynamicDuopoly,lookahead,standard,92.7147,0.999847,0.0306,0.0000,35.7958,9.6000,43.6243,3.6640,0.8109,0.1891,0.5600
30030,test,DynamicDuopoly,twap,standard,112.8481,0.999704,0.0592,0.0000,40.9417,20.0000,47.5517,4.2955,0.6266,0.3734,0.0000
30030,test,DynamicDuopoly,fee_aware_twap,standard,112.8481,0.999704,0.0592,0.0000,40.9417,20.0000,47.5517,4.2955,0.6266,0.3734,0.0000
30030,test,DynamicDuopoly,lookahead,standard,100.3617,0.999787,0.0426,0.0000,36.1365,8.8000,46.5475,8.8351,0.6587,0.3413,0.5800
30031,test,DynamicDuopoly,twap,standard,96.3307,0.999704,0.0592,0.0000,39.6607,20.0000,45.1477,-8.5369,0.5277,0.4723,0.0000
30031,test,DynamicDuopoly,fee_aware_twap,standard,96.3307,0.999704,0.0592,0.0000,39.6607,20.0000,45.1477,-8.5369,0.5277,0.4723,0.0000
30031,test,DynamicDuopoly,lookahead,standard,76.7843,0.999811,0.0378,0.0000,39.2502,8.8000,53.6182,-24.9219,0.5648,0.4352,0.6000
30032,test,DynamicDuopoly,twap,standard,118.8951,0.999704,0.0592,0.0000,39.5001,20.0000,44.7623,14.5735,0.5055,0.4945,0.0000
30032,test,DynamicDuopoly,fee_aware_twap,standard,118.8951,0.999704,0.0592,0.0000,39.5001,20.0000,44.7623,14.5735,0.5055,0.4945,0.0000
30032,test,DynamicDuopoly,lookahead,standard,110.4022,0.999811,0.0378,0.0000,34.5076,9.2000,43.7017,22.9551,0.4955,0.5045,0.6000
30033,test,DynamicDuopoly,twap,standard,106.0731,0.999704,0.0592,0.0000,40.8038,20.0000,47.3733,-2.1632,0.5862,0.4138,0.0000
30033,test,DynamicDuopoly,fee_aware_twap,standard,106.0731,0.999704,0.0592,0.0000,40.8038,20.0000,47.3733,-2.1632,0.5862,0.4138,0.0000
30033,test,DynamicDuopoly,lookahead,standard,83.9522,0.999790,0.0420,0.0000,36.3330,8.8000,49.3735,-10.5963,0.4486,0.5514,0.6200
30034,test,DynamicDuopoly,twap,standard,131.4823,0.999704,0.0592,0.0000,42.8733,20.0000,51.3047,17.2452,0.5767,0.4233,0.0000
30034,test,DynamicDuopoly,fee_aware_twap,standard,131.4823,0.999704,0.0592,0.0000,42.8733,20.0000,51.3047,17.2452,0.5767,0.4233,0.0000
30034,test,DynamicDuopoly,lookahead,standard,135.1657,0.999842,0.0315,0.0000,36.3876,8.8000,51.4215,38.5250,0.5338,0.4662,0.6000
30035,test,DynamicDuopoly,twap,standard,120.4751,0.999704,0.0592,0.0000,41.1833,20.0000,48.0191,11.2136,0.4551,0.5449,0.0000
30035,test,DynamicDuopoly,fee_aware_twap,standard,120.4751,0.999704,0.0592,0.0000,41.1833,20.0000,48.0191,11.2136,0.4551,0.5449,0.0000
30035,test,DynamicDuopoly,lookahead,standard,130.5969,0.999823,0.0355,0.0000,38.9948,9.2000,52.7601,29.6064,0.5613,0.4387,0.5800
30036,test,DynamicDuopoly,twap,standard,122.4680,0.999704,0.0592,0.0000,41.8074,20.0000,49.2859,11.3155,0.5623,0.4377,0.0000
30036,test,DynamicDuopoly,fee_aware_twap,standard,122.4680,0.999704,0.0592,0.0000,41.8074,20.0000,49.2859,11.3155,0.5623,0.4377,0.0000
30036,test,DynamicDuopoly,lookahead,standard,108.7360,0.999870,0.0259,0.0000,36.2078,8.4000,54.8496,9.2527,0.4559,0.5441,0.6400
30037,test,DynamicDuopoly,twap,standard,106.2958,0.999704,0.0592,0.0000,41.7086,20.0000,49.0843,-4.5564,0.5751,0.4249,0.0000
30037,test,DynamicDuopoly,fee_aware_twap,standard,106.2958,0.999704,0.0592,0.0000,41.7086,20.0000,49.0843,-4.5564,0.5751,0.4249,0.0000
30037,test,DynamicDuopoly,lookahead,standard,112.8423,0.999856,0.0288,0.0000,37.4156,8.0000,61.0502,6.3476,0.5462,0.4538,0.6600
30038,test,DynamicDuopoly,twap,standard,88.3441,0.999704,0.0592,0.0000,43.4931,20.0000,52.6717,-27.8799,0.5083,0.4917,0.0000
30038,test,DynamicDuopoly,fee_aware_twap,standard,88.3441,0.999704,0.0592,0.0000,43.4931,20.0000,52.6717,-27.8799,0.5083,0.4917,0.0000
30038,test,DynamicDuopoly,lookahead,standard,42.8383,0.999870,0.0259,0.0000,38.6851,8.4000,59.6034,-63.8762,0.5861,0.4139,0.6400
30039,test,DynamicDuopoly,twap,standard,116.4084,0.999704,0.0592,0.0000,43.7028,20.0000,52.9880,-0.3416,0.6182,0.3818,0.0000
30039,test,DynamicDuopoly,fee_aware_twap,standard,116.4084,0.999704,0.0592,0.0000,43.7028,20.0000,52.9880,-0.3416,0.6182,0.3818,0.0000
30039,test,DynamicDuopoly,lookahead,standard,89.5295,0.999790,0.0420,0.0000,39.6866,8.8000,55.9462,-14.9453,0.6886,0.3114,0.6200
30040,test,DynamicDuopoly,twap,standard,92.4001,0.999704,0.0592,0.0000,41.8422,20.0000,49.4143,-18.9156,0.5290,0.4710,0.0000
30040,test,DynamicDuopoly,fee_aware_twap,standard,92.4001,0.999704,0.0592,0.0000,41.8422,20.0000,49.4143,-18.9156,0.5290,0.4710,0.0000
30040,test,DynamicDuopoly,lookahead,standard,63.6612,0.999825,0.0350,0.0000,37.8920,8.4000,54.1822,-36.8480,0.6210,0.3790,0.6200
30041,test,DynamicDuopoly,twap,standard,131.6708,0.999704,0.0592,0.0000,43.5009,20.0000,52.5160,15.5948,0.5498,0.4502,0.0000
30041,test,DynamicDuopoly,fee_aware_twap,standard,131.6708,0.999704,0.0592,0.0000,43.5009,20.0000,52.5160,15.5948,0.5498,0.4502,0.0000
30041,test,DynamicDuopoly,lookahead,standard,134.3328,0.999858,0.0284,0.0000,38.0283,8.8000,51.4364,36.0398,0.5624,0.4376,0.5800
30042,test,DynamicDuopoly,twap,standard,119.3290,0.999704,0.0592,0.0000,42.3465,20.0000,50.3375,6.5859,0.4784,0.5216,0.0000
30042,test,DynamicDuopoly,fee_aware_twap,standard,119.3290,0.999704,0.0592,0.0000,42.3465,20.0000,50.3375,6.5859,0.4784,0.5216,0.0000
30042,test,DynamicDuopoly,lookahead,standard,88.3710,0.999872,0.0255,0.0000,36.8023,9.6000,46.1521,-4.2090,0.6504,0.3496,0.5600
30043,test,DynamicDuopoly,twap,standard,85.3612,0.999704,0.0592,0.0000,44.7764,20.0000,55.1926,-34.6669,0.3917,0.6083,0.0000
30043,test,DynamicDuopoly,fee_aware_twap,standard,85.3612,0.999704,0.0592,0.0000,44.7764,20.0000,55.1926,-34.6669,0.3917,0.6083,0.0000
30043,test,DynamicDuopoly,lookahead,standard,39.4156,0.999870,0.0259,0.0000,38.1242,8.4000,58.5092,-65.6438,0.6924,0.3076,0.6400
30044,test,DynamicDuopoly,twap,standard,92.5431,0.999704,0.0592,0.0000,40.4834,20.0000,46.7904,-14.7898,0.4746,0.5254,0.0000
30044,test,DynamicDuopoly,fee_aware_twap,standard,92.5431,0.999704,0.0592,0.0000,40.4834,20.0000,46.7904,-14.7898,0.4746,0.5254,0.0000
30044,test,DynamicDuopoly,lookahead,standard,82.0325,0.999766,0.0467,0.0000,40.1498,8.4000,59.3956,-25.9597,0.4905,0.5095,0.6400
30045,test,DynamicDuopoly,twap,standard,102.8080,0.999704,0.0592,0.0000,39.9817,20.0000,45.7504,-2.9833,0.5448,0.4552,0.0000
30045,test,DynamicDuopoly,fee_aware_twap,standard,102.8080,0.999704,0.0592,0.0000,39.9817,20.0000,45.7504,-2.9833,0.5448,0.4552,0.0000
30045,test,DynamicDuopoly,lookahead,standard,89.1103,0.999766,0.0467,0.0000,42.3065,8.4000,63.6084,-25.2513,0.6349,0.3651,0.6400
30046,test,DynamicDuopoly,twap,standard,97.1463,0.999704,0.0592,0.0000,41.9490,20.0000,49.6394,-14.5013,0.5327,0.4673,0.0000
30046,test,DynamicDuopoly,fee_aware_twap,standard,97.1463,0.999704,0.0592,0.0000,41.9490,20.0000,49.6394,-14.5013,0.5327,0.4673,0.0000
30046,test,DynamicDuopoly,lookahead,standard,80.2347,0.999825,0.0350,0.0000,36.2903,8.4000,51.0754,-15.5661,0.5766,0.4234,0.6200
30047,test,DynamicDuopoly,twap,standard,118.3337,0.999704,0.0592,0.0000,42.5758,20.0000,50.7670,4.9318,0.6543,0.3457,0.0000
30047,test,DynamicDuopoly,fee_aware_twap,standard,118.3337,0.999704,0.0592,0.0000,42.5758,20.0000,50.7670,4.9318,0.6543,0.3457,0.0000
30047,test,DynamicDuopoly,lookahead,standard,130.9549,0.999856,0.0288,0.0000,36.6396,8.0000,59.5231,26.7633,0.6097,0.3903,0.6600
30048,test,DynamicDuopoly,twap,standard,96.0386,0.999704,0.0592,0.0000,45.1376,20.0000,55.8545,-25.0127,0.5007,0.4993,0.0000
30048,test,DynamicDuopoly,fee_aware_twap,standard,96.0386,0.999704,0.0592,0.0000,45.1376,20.0000,55.8545,-25.0127,0.5049,0.4951,0.0000
30048,test,DynamicDuopoly,lookahead,standard,52.4943,0.999784,0.0432,0.0000,38.8380,8.0000,61.8104,-56.1974,0.4555,0.5445,0.6600
30049,test,DynamicDuopoly,twap,standard,104.3268,0.999704,0.0592,0.0000,42.7376,20.0000,51.1087,-9.5787,0.6498,0.3502,0.0000
30049,test,DynamicDuopoly,fee_aware_twap,standard,104.3268,0.999704,0.0592,0.0000,42.7376,20.0000,51.1087,-9.5787,0.6498,0.3502,0.0000
30049,test,DynamicDuopoly,lookahead,standard,108.3423,0.999870,0.0259,0.0000,37.3378,8.4000,57.0113,5.5673,0.5232,0.4768,0.6400
30050,test,DynamicDuopoly,twap,standard,124.0403,0.999704,0.0592,0.0000,41.0017,20.0000,47.7038,15.2757,0.5204,0.4796,0.0000
30050,test,DynamicDuopoly,fee_aware_twap,standard,124.0403,0.999704,0.0592,0.0000,41.0017,20.0000,47.7038,15.2757,0.5204,0.4796,0.0000
30050,test,DynamicDuopoly,lookahead,standard,113.1574,0.999808,0.0383,0.0000,35.0535,8.8000,45.2671,23.9985,0.5708,0.4292,0.5600
30051,test,DynamicDuopoly,twap,standard,129.8227,0.999704,0.0592,0.0000,41.0265,20.0000,47.6822,21.0549,0.5206,0.4794,0.0000
30051,test,DynamicDuopoly,fee_aware_twap,standard,129.8227,0.999704,0.0592,0.0000,41.0265,20.0000,47.6822,21.0549,0.5206,0.4794,0.0000
30051,test,DynamicDuopoly,lookahead,standard,149.9882,0.999858,0.0284,0.0000,33.9015,8.4000,48.7611,58.8972,0.5143,0.4857,0.5800
30052,test,DynamicDuopoly,twap,standard,141.0725,0.999704,0.0592,0.0000,41.8441,20.0000,49.2672,29.9020,0.4692,0.5308,0.0000
30052,test,DynamicDuopoly,fee_aware_twap,standard,141.0725,0.999704,0.0592,0.0000,41.8441,20.0000,49.2672,29.9020,0.4692,0.5308,0.0000
30052,test,DynamicDuopoly,lookahead,standard,141.4755,0.999811,0.0378,0.0000,36.3070,9.2000,47.2321,48.6986,0.6298,0.3702,0.6000
30053,test,DynamicDuopoly,twap,standard,97.0351,0.999704,0.0592,0.0000,39.9821,20.0000,45.8001,-8.8063,0.5501,0.4499,0.0000
30053,test,DynamicDuopoly,fee_aware_twap,standard,97.0351,0.999704,0.0592,0.0000,39.9821,20.0000,45.8001,-8.8063,0.5501,0.4499,0.0000
30053,test,DynamicDuopoly,lookahead,standard,82.6641,0.999790,0.0420,0.0000,36.3653,8.8000,49.4360,-11.9792,0.7121,0.2879,0.6200
30054,test,DynamicDuopoly,twap,standard,120.7420,0.999704,0.0592,0.0000,40.3360,20.0000,46.3079,14.0390,0.4781,0.5219,0.0000
30054,test,DynamicDuopoly,fee_aware_twap,standard,120.7420,0.999704,0.0592,0.0000,40.3360,20.0000,46.3079,14.0390,0.4781,0.5219,0.0000
30054,test,DynamicDuopoly,lookahead,standard,145.3499,0.999842,0.0315,0.0000,38.2631,8.8000,52.4966,45.7587,0.6401,0.3599,0.6000
30055,test,DynamicDuopoly,twap,standard,100.1057,0.999704,0.0592,0.0000,41.2060,20.0000,48.1716,-9.3311,0.5285,0.4715,0.0000
30055,test,DynamicDuopoly,fee_aware_twap,standard,100.1057,0.999704,0.0592,0.0000,41.2060,20.0000,48.1716,-9.3311,0.5285,0.4715,0.0000
30055,test,DynamicDuopoly,lookahead,standard,79.9208,0.999842,0.0315,0.0000,39.0544,8.8000,54.0656,-22.0308,0.4427,0.5573,0.6000
30056,test,DynamicDuopoly,twap,standard,110.2918,0.999704,0.0592,0.0000,40.9358,20.0000,47.6012,1.6956,0.5156,0.4844,0.0000
30056,test,DynamicDuopoly,fee_aware_twap,standard,110.2918,0.999704,0.0592,0.0000,40.9358,20.0000,47.6012,1.6956,0.5156,0.4844,0.0000
30056,test,DynamicDuopoly,lookahead,standard,101.4917,0.999842,0.0315,0.0000,37.5067,8.8000,51.0245,4.1290,0.4007,0.5993,0.6000
30057,test,DynamicDuopoly,twap,standard,106.3666,0.999704,0.0592,0.0000,40.3066,20.0000,46.3531,-0.3523,0.5133,0.4867,0.0000
30057,test,DynamicDuopoly,fee_aware_twap,standard,106.3666,0.999704,0.0592,0.0000,40.3066,20.0000,46.3531,-0.3523,0.5133,0.4867,0.0000
30057,test,DynamicDuopoly,lookahead,standard,107.3487,0.999858,0.0284,0.0000,37.5195,9.2000,49.1166,11.4843,0.6830,0.3170,0.5800
